temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
35°,21°,6km/h,21°,11mm,97%,7km,61%,38,22°C,1012hPa,06:40:00,18:42:00,12:2:0,2020/03/07
36°,21°,7km/h,21°,10mm,99%,6.5km,77%,38,22°C,1013hPa,06:40:00,18:42:00,12:2:0,2020/03/08
35°,22°,7km/h,22°,9mm,96%,7.5km,40%,37,22°C,1013hPa,06:39:00,18:42:00,12:3:0,2020/03/09
34°,22°,6km/h,22°,22mm,99%,6.625km,68%,37,23°C,1012hPa,06:39:00,18:42:00,12:3:0,2020/03/10
34°,22°,5km/h,22°,11mm,98%,7.25km,76%,38,23°C,1011hPa,06:38:00,18:42:00,12:4:0,2020/03/11
37°,21°,5km/h,21°,3mm,99%,9.875km,45%,38,22°C,1012hPa,06:38:00,18:41:00,12:3:0,2020/03/12
34°,22°,6km/h,22°,1mm,94%,9km,55%,37,22°C,1012hPa,06:37:00,18:41:00,12:4:0,2020/03/13
33°,22°,9km/h,22°,3mm,97%,8.5km,51%,36,22°C,1013hPa,06:37:00,18:41:00,12:4:0,2020/03/14
36°,23°,6km/h,23°,2mm,90%,9.875km,39%,39,22°C,1014hPa,06:37:00,18:41:00,12:4:0,2020/03/15
34°,22°,7km/h,22°,11mm,96%,6.875km,59%,37,22°C,1011hPa,06:36:00,18:41:00,12:5:0,2020/03/16
32°,22°,9km/h,22°,10mm,98%,8.875km,77%,36,22°C,1012hPa,06:36:00,18:41:00,12:5:0,2020/03/17
34°,22°,9km/h,22°,8mm,98%,7km,69%,37,22°C,1013hPa,06:35:00,18:41:00,12:6:0,2020/03/18
33°,22°,7km/h,22°,6mm,96%,8.625km,58%,37,22°C,1013hPa,06:35:00,18:41:00,12:6:0,2020/03/19
37°,21°,7km/h,21°,2mm,97%,7.625km,50%,39,22°C,1012hPa,06:34:00,18:41:00,12:7:0,2020/03/20
31°,22°,6km/h,22°,8mm,98%,7.875km,71%,35,23°C,1012hPa,06:34:00,18:41:00,12:7:0,2020/03/21
34°,21°,7km/h,21°,24mm,96%,8.5km,46%,37,22°C,1013hPa,06:33:00,18:41:00,12:8:0,2020/03/22
26°,21°,5km/h,21°,15mm,98%,8.875km,60%,29,23°C,1015hPa,06:32:00,18:41:00,12:9:0,2020/03/23
34°,21°,8km/h,21°,16mm,97%,7.625km,60%,37,22°C,1014hPa,06:32:00,18:40:00,12:8:0,2020/03/24
29°,21°,7km/h,21°,25mm,98%,8.5km,72%,32,23°C,1014hPa,06:31:00,18:40:00,12:9:0,2020/03/25
30°,22°,6km/h,22°,31mm,92%,7.75km,70%,34,24°C,1012hPa,06:31:00,18:40:00,12:9:0,2020/03/26
32°,21°,5km/h,21°,23mm,98%,8.5km,76%,35,22°C,1012hPa,06:30:00,18:40:00,12:10:0,2020/03/27
33°,22°,6km/h,22°,18mm,99%,6.25km,76%,36,23°C,1014hPa,06:30:00,18:40:00,12:10:0,2020/03/28
33°,22°,4km/h,22°,21mm,99%,8.375km,81%,37,25°C,1013hPa,06:29:00,18:40:00,12:11:0,2020/03/29
36°,22°,3km/h,22°,10mm,97%,9.375km,61%,39,23°C,1012hPa,06:29:00,18:40:00,12:11:0,2020/03/30
36°,22°,6km/h,22°,4mm,99%,7.125km,56%,40,23°C,1012hPa,06:28:00,18:40:00,12:12:0,2020/03/31
29°,27°,19km/h,27°,1mm,88%,9.75km,43%,33,25°C,1012hPa,06:15:00,18:25:00,12:10:0,2020/04/01
29°,26°,17km/h,26°,0mm,86%,10km,17%,33,25°C,1012hPa,06:14:00,18:25:00,12:11:0,2020/04/02
29°,27°,18km/h,27°,0mm,84%,10km,22%,34,26°C,1011hPa,06:14:00,18:24:00,12:10:0,2020/04/03
29°,27°,20km/h,27°,2mm,88%,9.875km,49%,35,26°C,1012hPa,06:13:00,18:24:00,12:11:0,2020/04/04
29°,28°,15km/h,28°,1mm,87%,10km,30%,35,26°C,1012hPa,06:13:00,18:24:00,12:11:0,2020/04/05
29°,28°,22km/h,28°,1mm,85%,9.5km,50%,34,25°C,1013hPa,06:12:00,18:24:00,12:12:0,2020/04/06
29°,27°,18km/h,27°,5mm,86%,9.75km,16%,34,25°C,1012hPa,06:12:00,18:24:00,12:12:0,2020/04/07
30°,28°,20km/h,28°,5mm,83%,9.5km,58%,35,25°C,1011hPa,06:12:00,18:24:00,12:12:0,2020/04/08
30°,27°,22km/h,27°,25mm,80%,8km,70%,33,25°C,1013hPa,06:11:00,18:24:00,12:13:0,2020/04/09
30°,28°,18km/h,28°,7mm,83%,9.5km,36%,34,25°C,1012hPa,06:11:00,18:24:00,12:13:0,2020/04/10
29°,27°,23km/h,27°,7mm,82%,9km,77%,33,25°C,1013hPa,06:10:00,18:23:00,12:13:0,2020/04/11
30°,27°,18km/h,27°,21mm,78%,7.875km,69%,34,24°C,1013hPa,06:10:00,18:23:00,12:13:0,2020/04/12
29°,27°,16km/h,27°,0mm,83%,10km,33%,33,25°C,1012hPa,06:10:00,18:23:00,12:13:0,2020/04/13
29°,27°,15km/h,27°,1mm,84%,9.75km,34%,34,24°C,1012hPa,06:09:00,18:23:00,12:14:0,2020/04/14
29°,28°,17km/h,28°,1mm,82%,10km,39%,34,25°C,1012hPa,06:09:00,18:23:00,12:14:0,2020/04/15
29°,28°,20km/h,28°,8mm,81%,9.125km,52%,35,26°C,1012hPa,06:08:00,18:23:00,12:15:0,2020/04/16
29°,28°,27km/h,28°,4mm,85%,9.625km,64%,35,25°C,1011hPa,06:08:00,18:23:00,12:15:0,2020/04/17
30°,28°,25km/h,28°,3mm,83%,9.75km,71%,35,25°C,1012hPa,06:08:00,18:23:00,12:15:0,2020/04/18
29°,27°,21km/h,27°,6mm,79%,9.375km,51%,33,25°C,1014hPa,06:07:00,18:23:00,12:16:0,2020/04/19
29°,27°,19km/h,27°,1mm,81%,10km,30%,34,24°C,1014hPa,06:07:00,18:23:00,12:16:0,2020/04/20
29°,27°,21km/h,27°,5mm,81%,9.75km,43%,33,26°C,1013hPa,06:07:00,18:23:00,12:16:0,2020/04/21
29°,28°,23km/h,28°,2mm,84%,9.75km,62%,35,26°C,1012hPa,06:06:00,18:22:00,12:16:0,2020/04/22
29°,27°,20km/h,27°,2mm,84%,9.875km,45%,33,24°C,1012hPa,06:06:00,18:22:00,12:16:0,2020/04/23
29°,27°,21km/h,27°,6mm,84%,9.625km,52%,33,24°C,1012hPa,06:06:00,18:22:00,12:16:0,2020/04/24
29°,27°,23km/h,27°,3mm,84%,9.75km,38%,33,24°C,1013hPa,06:05:00,18:22:00,12:17:0,2020/04/25
29°,27°,23km/h,27°,1mm,85%,9.75km,35%,33,25°C,1012hPa,06:05:00,18:22:00,12:17:0,2020/04/26
29°,27°,19km/h,27°,1mm,84%,9.5km,42%,33,25°C,1013hPa,06:05:00,18:22:00,12:17:0,2020/04/27
29°,27°,17km/h,27°,1mm,84%,10km,55%,33,24°C,1013hPa,06:05:00,18:22:00,12:17:0,2020/04/28
29°,27°,21km/h,27°,1mm,85%,10km,36%,33,25°C,1014hPa,06:04:00,18:22:00,12:18:0,2020/04/29
29°,27°,19km/h,27°,1mm,86%,9.625km,65%,33,24°C,1014hPa,06:04:00,18:22:00,12:18:0,2020/04/30
35°,24°,7km/h,24°,22mm,99%,5.5km,68%,40,24°C,1012hPa,06:14:00,18:25:00,12:11:0,2020/04/01
33°,24°,9km/h,24°,7mm,96%,9.375km,84%,38,24°C,1013hPa,06:13:00,18:25:00,12:12:0,2020/04/02
35°,23°,8km/h,23°,8mm,99%,6.5km,71%,40,24°C,1011hPa,06:13:00,18:25:00,12:12:0,2020/04/03
32°,23°,9km/h,23°,28mm,99%,6.5km,87%,37,24°C,1013hPa,06:13:00,18:24:00,12:11:0,2020/04/04
35°,24°,8km/h,24°,9mm,100%,9.375km,52%,40,24°C,1013hPa,06:12:00,18:24:00,12:12:0,2020/04/05
31°,24°,9km/h,24°,3mm,96%,7.25km,70%,36,25°C,1013hPa,06:12:00,18:24:00,12:12:0,2020/04/06
34°,23°,9km/h,23°,13mm,99%,5.125km,65%,39,25°C,1012hPa,06:11:00,18:24:00,12:13:0,2020/04/07
36°,23°,8km/h,23°,8mm,99%,6.75km,61%,41,24°C,1012hPa,06:11:00,18:24:00,12:13:0,2020/04/08
31°,23°,7km/h,23°,24mm,98%,8km,55%,33,23°C,1013hPa,06:10:00,18:24:00,12:14:0,2020/04/09
34°,22°,6km/h,22°,19mm,99%,8.375km,75%,39,24°C,1013hPa,06:10:00,18:24:00,12:14:0,2020/04/10
33°,23°,5km/h,23°,23mm,99%,5.875km,76%,36,25°C,1013hPa,06:09:00,18:24:00,12:15:0,2020/04/11
34°,23°,7km/h,23°,10mm,98%,8.75km,51%,36,24°C,1014hPa,06:09:00,18:24:00,12:15:0,2020/04/12
35°,22°,7km/h,22°,2mm,98%,7.25km,63%,39,23°C,1013hPa,06:09:00,18:24:00,12:15:0,2020/04/13
35°,23°,7km/h,23°,1mm,99%,7.375km,55%,39,23°C,1012hPa,06:08:00,18:23:00,12:15:0,2020/04/14
33°,23°,7km/h,23°,17mm,99%,6.375km,73%,38,25°C,1012hPa,06:08:00,18:23:00,12:15:0,2020/04/15
35°,23°,6km/h,23°,39mm,98%,9km,58%,39,24°C,1012hPa,06:07:00,18:23:00,12:16:0,2020/04/16
35°,23°,8km/h,23°,3mm,99%,7.375km,63%,41,25°C,1011hPa,06:07:00,18:23:00,12:16:0,2020/04/17
33°,25°,9km/h,25°,6mm,96%,8.125km,76%,39,25°C,1012hPa,06:07:00,18:23:00,12:16:0,2020/04/18
35°,23°,11km/h,23°,2mm,100%,7.375km,68%,39,23°C,1014hPa,06:06:00,18:23:00,12:17:0,2020/04/19
35°,22°,9km/h,22°,1mm,99%,7.375km,66%,39,23°C,1014hPa,06:06:00,18:23:00,12:17:0,2020/04/20
36°,23°,5km/h,23°,6mm,99%,9.25km,58%,40,24°C,1013hPa,06:06:00,18:23:00,12:17:0,2020/04/21
32°,23°,9km/h,23°,15mm,99%,5.25km,81%,38,25°C,1012hPa,06:05:00,18:23:00,12:18:0,2020/04/22
34°,23°,8km/h,23°,9mm,100%,5.625km,75%,39,24°C,1012hPa,06:05:00,18:23:00,12:18:0,2020/04/23
34°,23°,7km/h,23°,8mm,99%,6.75km,78%,38,24°C,1012hPa,06:05:00,18:23:00,12:18:0,2020/04/24
37°,23°,8km/h,23°,6mm,100%,9.875km,64%,41,24°C,1013hPa,06:04:00,18:23:00,12:19:0,2020/04/25
37°,23°,8km/h,23°,8mm,99%,9.375km,76%,41,24°C,1012hPa,06:04:00,18:23:00,12:19:0,2020/04/26
34°,23°,8km/h,23°,19mm,97%,8.25km,57%,39,25°C,1013hPa,06:04:00,18:23:00,12:19:0,2020/04/27
34°,23°,8km/h,23°,9mm,99%,6.75km,80%,40,24°C,1013hPa,06:03:00,18:23:00,12:20:0,2020/04/28
33°,23°,8km/h,23°,7mm,100%,9.75km,76%,38,24°C,1014hPa,06:03:00,18:23:00,12:20:0,2020/04/29
34°,23°,9km/h,23°,1mm,100%,7.25km,54%,39,23°C,1015hPa,06:03:00,18:23:00,12:20:0,2020/04/30
30°,26°,15km/h,26°,2mm,92%,9.625km,37%,36,25°C,1012hPa,06:12:00,18:22:00,12:10:0,2020/04/01
31°,26°,15km/h,26°,0mm,90%,10km,19%,36,24°C,1012hPa,06:11:00,18:22:00,12:11:0,2020/04/02
31°,26°,17km/h,26°,0mm,87%,10km,31%,36,25°C,1011hPa,06:11:00,18:22:00,12:11:0,2020/04/03
31°,26°,18km/h,26°,3mm,91%,9.75km,66%,36,25°C,1012hPa,06:11:00,18:21:00,12:10:0,2020/04/04
32°,26°,13km/h,26°,1mm,90%,9.875km,16%,37,25°C,1012hPa,06:10:00,18:21:00,12:11:0,2020/04/05
31°,27°,18km/h,27°,1mm,88%,10km,50%,36,25°C,1013hPa,06:10:00,18:21:00,12:11:0,2020/04/06
31°,26°,16km/h,26°,4mm,91%,9.75km,16%,36,25°C,1012hPa,06:09:00,18:21:00,12:12:0,2020/04/07
32°,27°,18km/h,27°,2mm,89%,9.75km,29%,38,25°C,1011hPa,06:09:00,18:21:00,12:12:0,2020/04/08
32°,27°,17km/h,27°,24mm,85%,8.25km,78%,36,25°C,1013hPa,06:09:00,18:21:00,12:12:0,2020/04/09
32°,27°,16km/h,27°,11mm,89%,9.125km,63%,36,25°C,1012hPa,06:08:00,18:21:00,12:13:0,2020/04/10
31°,27°,16km/h,27°,14mm,87%,9.125km,72%,36,24°C,1013hPa,06:08:00,18:20:00,12:12:0,2020/04/11
33°,26°,14km/h,26°,19mm,85%,8.5km,65%,38,24°C,1014hPa,06:07:00,18:20:00,12:13:0,2020/04/12
31°,26°,15km/h,26°,1mm,87%,9.875km,40%,36,24°C,1013hPa,06:07:00,18:20:00,12:13:0,2020/04/13
31°,26°,16km/h,26°,1mm,89%,10km,33%,36,24°C,1012hPa,06:07:00,18:20:00,12:13:0,2020/04/14
32°,27°,16km/h,27°,1mm,87%,9.625km,47%,37,25°C,1012hPa,06:06:00,18:20:00,12:14:0,2020/04/15
32°,26°,17km/h,26°,11mm,88%,8.875km,55%,38,25°C,1012hPa,06:06:00,18:20:00,12:14:0,2020/04/16
31°,27°,20km/h,27°,2mm,90%,9.75km,54%,37,25°C,1011hPa,06:05:00,18:20:00,12:15:0,2020/04/17
31°,27°,22km/h,27°,5mm,88%,9.375km,64%,36,25°C,1012hPa,06:05:00,18:20:00,12:15:0,2020/04/18
32°,26°,19km/h,26°,4mm,87%,9.5km,46%,36,24°C,1014hPa,06:05:00,18:20:00,12:15:0,2020/04/19
32°,26°,18km/h,26°,2mm,88%,9.75km,45%,37,24°C,1014hPa,06:04:00,18:20:00,12:16:0,2020/04/20
32°,26°,16km/h,26°,7mm,88%,9km,49%,37,25°C,1013hPa,06:04:00,18:20:00,12:16:0,2020/04/21
30°,27°,18km/h,27°,8mm,88%,9.125km,62%,36,25°C,1012hPa,06:04:00,18:19:00,12:15:0,2020/04/22
31°,26°,18km/h,26°,2mm,91%,9.5km,63%,36,24°C,1012hPa,06:03:00,18:19:00,12:16:0,2020/04/23
31°,26°,18km/h,26°,8mm,90%,8.875km,73%,36,24°C,1012hPa,06:03:00,18:19:00,12:16:0,2020/04/24
32°,26°,18km/h,26°,6mm,89%,9.25km,69%,37,24°C,1013hPa,06:03:00,18:19:00,12:16:0,2020/04/25
31°,26°,17km/h,26°,1mm,91%,9.625km,44%,37,25°C,1012hPa,06:03:00,18:19:00,12:16:0,2020/04/26
31°,26°,19km/h,26°,1mm,88%,9.625km,41%,36,24°C,1013hPa,06:02:00,18:19:00,12:17:0,2020/04/27
31°,26°,15km/h,26°,4mm,86%,9.625km,46%,35,24°C,1013hPa,06:02:00,18:19:00,12:17:0,2020/04/28
31°,26°,18km/h,26°,1mm,91%,9.875km,40%,37,25°C,1014hPa,06:02:00,18:19:00,12:17:0,2020/04/29
31°,26°,17km/h,26°,1mm,91%,10km,49%,36,24°C,1014hPa,06:02:00,18:19:00,12:17:0,2020/04/30
36°,24°,12km/h,24°,5mm,96%,8.625km,48%,41,24°C,1012hPa,06:09:00,18:21:00,12:12:0,2020/04/01
33°,23°,13km/h,23°,1mm,92%,9.75km,57%,38,23°C,1013hPa,06:08:00,18:21:00,12:13:0,2020/04/02
36°,23°,14km/h,23°,1mm,95%,8.75km,36%,40,23°C,1011hPa,06:08:00,18:21:00,12:13:0,2020/04/03
34°,23°,17km/h,23°,1mm,92%,9.75km,51%,39,23°C,1012hPa,06:07:00,18:21:00,12:14:0,2020/04/04
36°,23°,15km/h,23°,1mm,91%,9.75km,43%,40,23°C,1013hPa,06:07:00,18:21:00,12:14:0,2020/04/05
32°,24°,18km/h,24°,2mm,89%,9.875km,35%,37,23°C,1012hPa,06:06:00,18:20:00,12:14:0,2020/04/06
34°,23°,16km/h,23°,11mm,92%,9.125km,48%,38,23°C,1012hPa,06:06:00,18:20:00,12:14:0,2020/04/07
35°,24°,15km/h,24°,3mm,94%,8.375km,45%,40,23°C,1011hPa,06:05:00,18:20:00,12:15:0,2020/04/08
33°,23°,6km/h,23°,53mm,88%,7.875km,50%,35,23°C,1012hPa,06:05:00,18:20:00,12:15:0,2020/04/09
28°,23°,12km/h,23°,6mm,94%,9.5km,43%,31,23°C,1013hPa,06:04:00,18:20:00,12:16:0,2020/04/10
32°,23°,11km/h,23°,19mm,94%,8.625km,69%,36,23°C,1013hPa,06:04:00,18:20:00,12:16:0,2020/04/11
35°,23°,14km/h,23°,0mm,93%,10km,18%,37,22°C,1014hPa,06:03:00,18:20:00,12:17:0,2020/04/12
34°,23°,13km/h,23°,,93%,10km,28%,37,22°C,1013hPa,06:03:00,18:20:00,12:17:0,2020/04/13
35°,23°,12km/h,23°,0mm,93%,10km,23%,39,22°C,1012hPa,06:03:00,18:20:00,12:17:0,2020/04/14
32°,23°,15km/h,23°,8mm,94%,9.25km,76%,36,23°C,1012hPa,06:02:00,18:20:00,12:18:0,2020/04/15
36°,23°,8km/h,23°,13mm,96%,8.875km,39%,38,23°C,1012hPa,06:02:00,18:20:00,12:18:0,2020/04/16
35°,24°,17km/h,24°,0mm,93%,10km,19%,40,23°C,1010hPa,06:01:00,18:20:00,12:19:0,2020/04/17
33°,25°,20km/h,25°,2mm,85%,9.875km,69%,38,23°C,1012hPa,06:01:00,18:20:00,12:19:0,2020/04/18
33°,23°,19km/h,23°,8mm,94%,9.375km,56%,38,23°C,1013hPa,06:00:00,18:20:00,12:20:0,2020/04/19
34°,23°,16km/h,23°,7mm,93%,9km,61%,38,23°C,1014hPa,06:00:00,18:20:00,12:20:0,2020/04/20
35°,23°,7km/h,23°,10mm,92%,8.75km,49%,38,22°C,1013hPa,06:00:00,18:20:00,12:20:0,2020/04/21
33°,23°,15km/h,23°,3mm,92%,9.5km,56%,37,23°C,1012hPa,05:59:00,18:20:00,12:21:0,2020/04/22
34°,24°,15km/h,24°,4mm,92%,8.625km,70%,38,23°C,1012hPa,05:59:00,18:20:00,12:21:0,2020/04/23
33°,23°,16km/h,23°,6mm,94%,9.75km,62%,38,23°C,1012hPa,05:58:00,18:20:00,12:22:0,2020/04/24
35°,23°,13km/h,23°,7mm,96%,9.375km,60%,39,23°C,1013hPa,05:58:00,18:20:00,12:22:0,2020/04/25
33°,24°,15km/h,24°,11mm,93%,9.375km,61%,38,24°C,1012hPa,05:58:00,18:20:00,12:22:0,2020/04/26
32°,22°,15km/h,22°,8mm,94%,9.5km,64%,36,23°C,1013hPa,05:57:00,18:20:00,12:23:0,2020/04/27
35°,23°,13km/h,23°,1mm,95%,8.875km,47%,40,23°C,1013hPa,05:57:00,18:20:00,12:23:0,2020/04/28
34°,23°,15km/h,23°,2mm,95%,9.5km,60%,39,23°C,1014hPa,05:57:00,18:20:00,12:23:0,2020/04/29
34°,23°,17km/h,23°,1mm,94%,9.875km,54%,39,23°C,1014hPa,05:56:00,18:20:00,12:24:0,2020/04/30
36°,24°,15km/h,24°,6mm,89%,9.125km,66%,42,23°C,1012hPa,06:18:00,18:30:00,12:12:0,2020/04/01
33°,24°,13km/h,24°,2mm,90%,9.875km,40%,38,23°C,1013hPa,06:17:00,18:29:00,12:12:0,2020/04/02
37°,25°,12km/h,25°,1mm,88%,10km,25%,40,23°C,1011hPa,06:17:00,18:29:00,12:12:0,2020/04/03
34°,25°,17km/h,25°,1mm,85%,10km,45%,38,23°C,1012hPa,06:16:00,18:29:00,12:13:0,2020/04/04
34°,25°,15km/h,25°,1mm,85%,10km,54%,39,23°C,1013hPa,06:16:00,18:29:00,12:13:0,2020/04/05
33°,25°,14km/h,25°,1mm,88%,9.875km,38%,39,23°C,1013hPa,06:15:00,18:29:00,12:14:0,2020/04/06
32°,25°,15km/h,25°,6mm,89%,9.25km,43%,37,24°C,1012hPa,06:15:00,18:29:00,12:14:0,2020/04/07
36°,25°,12km/h,25°,4mm,91%,9.125km,52%,41,24°C,1011hPa,06:14:00,18:29:00,12:15:0,2020/04/08
25°,23°,15km/h,23°,21mm,88%,7.375km,54%,27,22°C,1013hPa,06:14:00,18:29:00,12:15:0,2020/04/09
34°,23°,14km/h,23°,3mm,84%,9.625km,35%,38,23°C,1012hPa,06:13:00,18:29:00,12:16:0,2020/04/10
29°,23°,11km/h,23°,12mm,86%,9km,57%,32,22°C,1013hPa,06:13:00,18:29:00,12:16:0,2020/04/11
34°,25°,9km/h,25°,2mm,84%,9.75km,38%,38,22°C,1014hPa,06:12:00,18:29:00,12:17:0,2020/04/12
36°,24°,11km/h,24°,1mm,86%,10km,34%,39,22°C,1012hPa,06:12:00,18:29:00,12:17:0,2020/04/13
35°,24°,11km/h,24°,1mm,91%,9.875km,44%,39,22°C,1012hPa,06:11:00,18:29:00,12:18:0,2020/04/14
33°,24°,12km/h,24°,8mm,89%,9.5km,65%,38,23°C,1012hPa,06:11:00,18:29:00,12:18:0,2020/04/15
36°,24°,10km/h,24°,5mm,91%,9.5km,54%,38,23°C,1012hPa,06:11:00,18:29:00,12:18:0,2020/04/16
38°,25°,15km/h,25°,0mm,87%,10km,13%,41,23°C,1010hPa,06:10:00,18:29:00,12:19:0,2020/04/17
33°,26°,17km/h,26°,1mm,82%,9.875km,59%,37,23°C,1012hPa,06:10:00,18:29:00,12:19:0,2020/04/18
34°,24°,17km/h,24°,3mm,92%,9.75km,49%,38,23°C,1014hPa,06:09:00,18:29:00,12:20:0,2020/04/19
33°,24°,14km/h,24°,3mm,92%,9.75km,40%,37,23°C,1014hPa,06:09:00,18:29:00,12:20:0,2020/04/20
36°,24°,5km/h,24°,7mm,89%,9.375km,56%,40,23°C,1013hPa,06:09:00,18:29:00,12:20:0,2020/04/21
34°,25°,13km/h,25°,2mm,86%,9.625km,41%,38,23°C,1012hPa,06:08:00,18:29:00,12:21:0,2020/04/22
35°,24°,12km/h,24°,4mm,94%,9.375km,57%,39,23°C,1012hPa,06:08:00,18:29:00,12:21:0,2020/04/23
34°,24°,9km/h,24°,33mm,90%,7.5km,56%,38,23°C,1012hPa,06:07:00,18:29:00,12:22:0,2020/04/24
35°,24°,9km/h,24°,12mm,93%,8.375km,57%,39,24°C,1013hPa,06:07:00,18:29:00,12:22:0,2020/04/25
35°,24°,15km/h,24°,2mm,93%,9.5km,47%,39,23°C,1012hPa,06:07:00,18:29:00,12:22:0,2020/04/26
32°,23°,13km/h,23°,3mm,92%,10km,31%,36,23°C,1013hPa,06:06:00,18:29:00,12:23:0,2020/04/27
36°,24°,10km/h,24°,3mm,93%,9.5km,44%,40,23°C,1013hPa,06:06:00,18:29:00,12:23:0,2020/04/28
35°,24°,13km/h,24°,3mm,93%,9.625km,44%,40,23°C,1014hPa,06:06:00,18:29:00,12:23:0,2020/04/29
35°,23°,13km/h,23°,1mm,93%,9.625km,45%,40,23°C,1014hPa,06:05:00,18:29:00,12:24:0,2020/04/30
40°,26°,11km/h,26°,,75%,10km,8%,44,21°C,1012hPa,06:18:00,18:31:00,12:13:0,2020/04/01
43°,25°,11km/h,25°,,79%,10km,10%,45,22°C,1012hPa,06:17:00,18:31:00,12:14:0,2020/04/02
43°,25°,12km/h,25°,,77%,10km,7%,44,21°C,1010hPa,06:17:00,18:31:00,12:14:0,2020/04/03
41°,25°,14km/h,25°,0mm,73%,10km,10%,42,20°C,1011hPa,06:16:00,18:31:00,12:15:0,2020/04/04
41°,26°,14km/h,26°,1mm,71%,10km,34%,44,22°C,1012hPa,06:16:00,18:31:00,12:15:0,2020/04/05
39°,27°,15km/h,27°,6mm,62%,9.375km,15%,44,21°C,1011hPa,06:15:00,18:31:00,12:16:0,2020/04/06
36°,25°,15km/h,25°,1mm,82%,9.875km,34%,40,22°C,1011hPa,06:14:00,18:31:00,12:17:0,2020/04/07
38°,26°,12km/h,26°,15mm,70%,9.5km,42%,41,22°C,1010hPa,06:14:00,18:31:00,12:17:0,2020/04/08
32°,24°,13km/h,24°,9mm,75%,9.5km,33%,33,19°C,1012hPa,06:13:00,18:31:00,12:18:0,2020/04/09
37°,25°,12km/h,25°,5mm,67%,9.625km,37%,38,21°C,1011hPa,06:13:00,18:31:00,12:18:0,2020/04/10
34°,25°,15km/h,25°,5mm,74%,9.625km,44%,36,20°C,1012hPa,06:12:00,18:31:00,12:19:0,2020/04/11
38°,25°,14km/h,25°,1mm,75%,9.875km,46%,41,20°C,1014hPa,06:12:00,18:31:00,12:19:0,2020/04/12
39°,25°,13km/h,25°,2mm,76%,9.75km,46%,41,21°C,1012hPa,06:11:00,18:31:00,12:20:0,2020/04/13
39°,25°,11km/h,25°,1mm,74%,9.875km,29%,42,20°C,1012hPa,06:11:00,18:31:00,12:20:0,2020/04/14
38°,24°,12km/h,24°,7mm,78%,9.375km,71%,39,20°C,1013hPa,06:10:00,18:31:00,12:21:0,2020/04/15
41°,26°,14km/h,26°,1mm,69%,9.875km,38%,41,20°C,1012hPa,06:10:00,18:31:00,12:21:0,2020/04/16
42°,25°,12km/h,25°,1mm,63%,10km,16%,44,18°C,1010hPa,06:09:00,18:31:00,12:22:0,2020/04/17
37°,25°,16km/h,25°,0mm,73%,10km,8%,40,21°C,1011hPa,06:09:00,18:31:00,12:22:0,2020/04/18
37°,25°,15km/h,25°,1mm,79%,10km,45%,39,21°C,1014hPa,06:09:00,18:31:00,12:22:0,2020/04/19
33°,24°,14km/h,24°,6mm,84%,9.375km,44%,35,21°C,1014hPa,06:08:00,18:31:00,12:23:0,2020/04/20
37°,24°,4km/h,24°,6mm,83%,9.5km,53%,40,21°C,1014hPa,06:08:00,18:31:00,12:23:0,2020/04/21
38°,25°,12km/h,25°,7mm,69%,9.5km,38%,40,20°C,1011hPa,06:07:00,18:31:00,12:24:0,2020/04/22
35°,24°,9km/h,24°,7mm,81%,9.25km,63%,38,22°C,1011hPa,06:07:00,18:31:00,12:24:0,2020/04/23
32°,23°,12km/h,23°,33mm,91%,8.625km,58%,34,22°C,1012hPa,06:06:00,18:31:00,12:25:0,2020/04/24
39°,25°,6km/h,25°,6mm,82%,9.5km,45%,42,22°C,1013hPa,06:06:00,18:31:00,12:25:0,2020/04/25
38°,25°,13km/h,25°,0mm,75%,10km,15%,40,21°C,1012hPa,06:06:00,18:31:00,12:25:0,2020/04/26
38°,24°,16km/h,24°,0mm,82%,10km,8%,40,21°C,1013hPa,06:05:00,18:31:00,12:26:0,2020/04/27
40°,25°,12km/h,25°,3mm,74%,9.75km,38%,42,21°C,1012hPa,06:05:00,18:31:00,12:26:0,2020/04/28
40°,24°,13km/h,24°,3mm,83%,9.625km,20%,44,22°C,1013hPa,06:04:00,18:32:00,12:28:0,2020/04/29
40°,24°,13km/h,24°,4mm,86%,9.625km,33%,44,22°C,1013hPa,06:04:00,18:32:00,12:28:0,2020/04/30
37°,24°,7km/h,24°,13mm,98%,6.5km,69%,42,24°C,1012hPa,06:22:00,18:33:00,12:11:0,2020/04/01
32°,24°,7km/h,24°,1mm,99%,6.5km,50%,36,24°C,1013hPa,06:21:00,18:33:00,12:12:0,2020/04/02
36°,23°,8km/h,23°,1mm,99%,6.25km,55%,40,24°C,1011hPa,06:21:00,18:32:00,12:11:0,2020/04/03
32°,24°,8km/h,24°,0mm,96%,9km,52%,36,24°C,1013hPa,06:21:00,18:32:00,12:11:0,2020/04/04
34°,24°,7km/h,24°,4mm,100%,8km,69%,39,25°C,1013hPa,06:20:00,18:32:00,12:12:0,2020/04/05
32°,24°,9km/h,24°,5mm,95%,7.75km,78%,38,25°C,1013hPa,06:20:00,18:32:00,12:12:0,2020/04/06
